id,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
train_00444,Florida,Palm Beach,4376,1970,2406,0.6,98.5,0.0,0.6,0.0,0.0,4362,60923.0,3.5,,42.9,6.4,47.3,0.0,3.4,83.7,2.0,0.0,0.0,0.0,14.2,31.1,590,82.2,15.3,2.5,0.0,5.6
train_01008,Pennsylvania,Indiana,5030,2099,2931,3.5,79.5,11.6,0.1,3.0,0.0,4861,7933.0,89.7,,12.9,38.2,42.8,0.8,5.3,44.1,1.5,1.1,48.4,0.9,4.0,11.8,1669,75.7,22.3,2.0,0.0,24.9
train_01504,New York,Dutchess,1389,1306,83,26.9,24.7,43.8,1.5,1.4,0.0,1221,22188.0,38.8,66.7,40.0,20.0,0.0,40.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,,20,100.0,0.0,0.0,0.0,45.9
train_02106,Hawaii,Honolulu,355,168,187,9.0,58.6,2.3,0.0,25.9,1.7,308,56750.0,12.4,,68.5,28.1,0.0,0.0,3.4,42.2,5.2,10.4,34.4,0.0,7.8,16.0,146,85.6,14.4,0.0,0.0,10.4
train_02178,Arizona,Pima,1789,839,950,1.7,97.7,0.0,0.6,0.0,0.0,1738,56276.0,4.5,,19.6,14.9,45.4,14.9,5.2,86.1,0.0,0.0,4.8,0.0,9.1,24.1,194,61.3,17.5,21.1,0.0,20.2
train_02473,Florida,Alachua,6542,2532,4010,14.4,61.9,9.2,0.0,8.5,0.0,6149,33000.0,17.6,,32.4,33.3,28.5,0.4,5.4,30.1,2.7,10.6,30.8,12.9,12.8,12.7,1141,55.0,43.5,1.1,0.4,19.2
train_03251,Illinois,Champaign,3411,1906,1505,7.9,33.0,3.8,0.0,53.4,0.0,2054,11329.0,72.8,,66.9,22.9,10.0,0.0,0.2,22.2,0.0,23.1,42.0,4.9,7.8,11.5,1693,43.1,54.3,2.6,0.0,5.0
train_03596,New York,Queens,29,16,13,0.0,69.0,0.0,0.0,31.0,0.0,29,32188.0,0.0,,0.0,55.6,44.4,0.0,0.0,0.0,0.0,0.0,0.0,55.6,44.4,,9,100.0,0.0,0.0,0.0,0.0
train_04356,Arizona,Maricopa,2867,1180,1687,1.6,96.0,0.0,0.0,2.3,0.0,2840,44375.0,3.7,,31.7,9.3,37.2,4.4,17.5,72.1,0.0,0.0,0.0,12.0,15.8,23.2,366,79.0,8.5,12.6,0.0,10.1
train_05093,Michigan,Ingham,30,16,14,0.0,80.0,0.0,10.0,10.0,0.0,30,72344.0,0.0,,30.4,0.0,34.8,34.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,23,13.0,17.4,69.6,0.0,0.0
train_06406,California,Los Angeles,143,83,60,0.0,100.0,0.0,0.0,0.0,0.0,143,103947.0,9.8,,36.8,19.7,43.4,0.0,0.0,51.4,0.0,0.0,0.0,5.6,43.1,,76,89.5,10.5,0.0,0.0,24.0
train_06739,Maryland,Baltimore city,886,315,571,6.0,44.8,29.9,0.1,11.1,0.0,821,25260.0,38.3,,55.2,15.6,24.7,1.9,2.7,28.7,2.4,4.3,52.0,5.4,7.0,17.0,377,78.0,22.0,0.0,0.0,10.5
train_07478,Oklahoma,Oklahoma,331,255,76,19.3,47.4,16.6,9.1,0.0,0.0,304,22981.0,38.3,63.6,11.4,0.0,37.1,51.4,0.0,20.0,71.4,0.0,0.0,8.6,0.0,,35,80.0,20.0,0.0,0.0,42.6
train_07538,Arizona,Maricopa,2896,1338,1558,2.2,95.5,0.0,0.0,2.3,0.0,2872,50275.0,1.7,,43.3,12.4,44.2,0.0,0.0,78.0,2.6,0.0,0.0,11.2,8.2,25.6,330,76.1,10.3,10.9,2.7,7.3
train_07913,New York,New York,1068,699,369,23.6,35.5,35.4,0.0,1.4,0.0,961,11671.0,55.5,,32.5,39.3,25.9,2.4,0.0,0.0,0.0,23.9,55.9,4.6,15.6,16.5,379,79.9,2.1,17.9,0.0,12.9
train_07942,Florida,Lee,2975,1405,1570,1.8,96.9,0.0,0.3,0.7,0.0,2926,128889.0,6.0,,57.2,8.3,24.2,9.3,1.0,53.7,2.8,0.0,1.6,2.2,39.7,38.2,711,86.6,3.4,10.0,0.0,2.6
train_08028,California,Orange,3564,1248,2316,7.0,77.0,0.2,0.3,14.9,0.0,3485,31325.0,9.5,,52.5,20.8,21.2,1.7,3.8,81.5,11.2,1.6,0.0,0.0,5.7,24.7,773,59.5,23.4,14.6,2.5,5.8
train_08661,Colorado,Larimer,91,39,52,15.4,84.6,0.0,0.0,0.0,0.0,91,43984.0,35.2,,42.5,25.3,13.8,18.4,0.0,31.5,0.0,0.0,39.7,6.8,21.9,,87,81.6,18.4,0.0,0.0,0.0
